Link,Name,IATA,ICAO,Location,Latitude,Longitude
https://en.wikipedia.org/wiki/Anaa_Airport,Anaa Airport,AAA,NTGA,"Anaa, Tuamotus, French Polynesia",-17.348888888888887,-145.51222222222222
https://en.wikipedia.org/wiki/Arrabury_Airport,Arrabury Airport,AAB,YARY,"Arrabury, Queensland, Australia",-26.69,141.04666666666665
https://en.wikipedia.org/wiki/El_Arish_International_Airport,El Arish International Airport,AAC,HEAR,"El Arish, Egypt",31.073333333333334,33.83583333333333
https://en.wikipedia.org/wiki/Adado_Airport,Adado Airport,AAD,HAAB,"Adado (Cadaado), Galguduud, Somalia",6.095833333333333,46.6375
https://en.wikipedia.org/wiki/Rabah_Bitat_Airport,Rabah Bitat Airport (Les Salines Airport),AAE,DABB,"Annaba, Algeria",36.82916666666667,7.813888888888889
https://en.wikipedia.org/wiki/Apalachicola_Regional_Airport,Apalachicola Regional Airport,AAF,KAAF,"Apalachicola, Florida, United States",29.7275,-85.0275
https://en.wikipedia.org/wiki/Arapoti_Airport,Arapoti Airport,AAG,SSYA,"Arapoti, Paraná, Brazil",-24.104166666666668,-49.79055555555556
https://en.wikipedia.org/wiki/Merzbr%C3%BCck_Airport,Merzbrück Airport,AAH,EDKA,"Aachen, North Rhine-Westphalia, Germany",50.82333333333334,6.186388888888889
https://en.wikipedia.org/wiki/Arraias_Airport,Arraias Airport,AAI,SWRA,"Arraias, Tocantins, Brazil",-13.023888888888889,-46.885555555555555
https://en.wikipedia.org/wiki/Cayana_Airstrip,Cayana Airstrip,AAJ,SMCA,"Awaradam, Suriname",,
https://en.wikipedia.org/wiki/Aranuka_Airport,Aranuka Airport,AAK,NGUK,"Aranuka, Kiribati",0.18527777777777776,173.6363888888889
https://en.wikipedia.org/wiki/Aalborg_Airport,Aalborg Airport,AAL,EKYT,"Aalborg, Denmark",57.09277777777778,9.849166666666667
https://en.wikipedia.org/wiki/Mala_Mala_Airport,Mala Mala Airport,AAM,FAMD,"Mala Mala, South Africa",-24.818055555555556,31.544722222222223
https://en.wikipedia.org/wiki/Al_Ain_International_Airport,Al Ain International Airport,AAN,OMAL,"Al Ain, United Arab Emirates",24.261666666666667,55.60916666666667
https://en.wikipedia.org/wiki/Anaco_Airport,Anaco Airport,AAO,SVAN,"Anaco, Venezuela",9.430277777777777,-64.47083333333333
https://en.wikipedia.org/wiki/Aji_Pangeran_Tumenggung_Pranoto_International_Airport,Aji Pangeran Tumenggung Pranoto International Airport,AAP,WALS,"Samarinda, East Kalimantan, Indonesia",-0.37361111111111106,117.25555555555556
https://en.wikipedia.org/wiki/Anapa_Airport,Anapa Airport,AAQ,URKA,"Anapa, Krasnodar Krai, Russia",45.00208333333333,37.34730555555556
https://en.wikipedia.org/wiki/Aarhus_Airport,Aarhus Airport,AAR,EKAH,"Aarhus, Denmark",56.30416666666667,10.619166666666667
https://en.wikipedia.org/wiki/Apalapsili_Airport,Apalapsili Airport,AAS,DAAS,"Apalapsili, Indonesia",-3.8847222222222224,139.31055555555557
https://en.wikipedia.org/wiki/Altay_Airport,Altay Airport,AAT,ZWAT,"Altay, Xinjiang, China",47.75036111111111,88.08444444444444
https://en.wikipedia.org/wiki/Asau_Airport,Asau Airport,AAU,NSAU,"Asau, Savai'i Island, Samoa",-13.505,-172.6277777777778
https://en.wikipedia.org/wiki/Allah_Valley_Airport,Allah Valley Airport,AAV,RPMA,"Surallah, Philippines",6.366666666666666,124.75083333333333
https://en.wikipedia.org/wiki/Arax%C3%A1_Airport,Araxá Airport,AAX,SBAX,"Araxá, Minas Gerais, Brazil",-19.560555555555556,-46.96555555555556
https://en.wikipedia.org/wiki/Al_Ghaydah_Airport,Al Ghaydah Airport,AAY,OYGD,"Al Ghaydah, Yemen",16.193361111111113,52.17419444444444
https://en.wikipedia.org/wiki/Quetzaltenango_Airport,Quetzaltenango Airport,AAZ,MGQZ,"Quetzaltenango, Guatemala",14.865277777777777,-91.50277777777778
https://en.wikipedia.org/wiki/Abakan_International_Airport,Abakan International Airport,ABA,UNAA,"Abakan, Republic of Khakassia, Russia",53.74333333333333,91.38583333333334
https://en.wikipedia.org/wiki/Asaba_International_Airport,Asaba International Airport,ABB,DNAS,"Asaba, Nigeria",6.204166666666667,6.665277777777778
https://en.wikipedia.org/wiki/Albacete_Airport,Albacete Airport,ABC,LEAB,"Albacete, Castilla-La Mancha, Spain",38.94833333333333,-1.8633333333333335
https://en.wikipedia.org/wiki/Abadan_International_Airport,Abadan International Airport,ABD,OIAA,"Abadan, Iran",30.36527777777778,48.23305555555556
https://en.wikipedia.org/wiki/Lehigh_Valley_International_Airport,Lehigh Valley International Airport,ABE,KABE,"Allentown, Pennsylvania, United States",40.65233333333333,-75.44047222222223
https://en.wikipedia.org/wiki/Abaiang_Atoll_Airport,Abaiang Atoll Airport,ABF,NGAB,"Abaiang, Kiribati",1.7963888888888888,173.0402777777778
https://en.wikipedia.org/wiki/Abingdon_Airport,Abingdon Airport,ABG,YABI,"Abingdon, Queensland, Australia",-17.6075,143.1836111111111
https://en.wikipedia.org/wiki/Alpha_Airport,Alpha Airport,ABH,YAPH,"Alpha, Queensland, Australia",-23.646666666666665,146.58333333333334
https://en.wikipedia.org/wiki/Abilene_Regional_Airport,Abilene Regional Airport,ABI,KABI,"Abilene, Texas, United States",32.41325,-99.68311111111112
https://en.wikipedia.org/wiki/Port_Bouet_Airport,Port Bouet Airport (Felix Houphouet Boigny Int'l),ABJ,DIAP,"Abidjan, Côte d'Ivoire",5.261416666666666,-3.925777777777778
https://en.wikipedia.org/wiki/Kabri_Dar_Airport,Kabri Dar Airport,ABK,HAKD,"Kebri Dahar, Ethiopia",6.732805555555555,44.24155555555556
https://en.wikipedia.org/wiki/Ambler_Airport,Ambler Airport (FAA: AFM),ABL,PAFM,"Ambler, Alaska, United States",67.10663888888888,-157.8571111111111
https://en.wikipedia.org/wiki/Northern_Peninsula_Airport,Northern Peninsula Airport,ABM,YNPE,"Bamaga, Queensland, Australia",-10.950833333333332,142.45944444444444
https://en.wikipedia.org/wiki/Albina_Airstrip,Albina Airstrip,ABN,SMBN,"Albina, Suriname",5.512720108032227,-54.05009841918945
https://en.wikipedia.org/wiki/Aboisso_Airport,Aboisso Airport,ABO,DIAO,"Aboisso, Côte d'Ivoire",5.461944444444445,-3.2347222222222225
https://en.wikipedia.org/wiki/Atkamba_Airport,Atkamba Airport,ABP,,"Atkamba, Papua New Guinea",-6.066666666666666,141.1
https://en.wikipedia.org/wiki/Albuquerque_International_Sunport,Albuquerque International Sunport,ABQ,KABQ,"Albuquerque, New Mexico, United States",35.040199,-106.609001
https://en.wikipedia.org/wiki/Aberdeen_Regional_Airport,Aberdeen Regional Airport,ABR,KABR,"Aberdeen, South Dakota, United States",45.448277777777776,-98.42275000000001
https://en.wikipedia.org/wiki/Abu_Simbel_Airport,Abu Simbel Airport,ABS,HEBL,"Abu Simbel, Egypt",22.37591666666667,31.61163888888889
https://en.wikipedia.org/wiki/Al-Baha_Domestic_Airport,Al-Baha Domestic Airport,ABT,OEBA,"Al Bahah, Saudi Arabia",20.296111111111113,41.634166666666665
https://en.wikipedia.org/wiki/Haliwen_Airport,Haliwen Airport,ABU,WATA,"Atambua, Indonesia",-9.074722222222222,124.90333333333334
https://en.wikipedia.org/wiki/Nnamdi_Azikiwe_International_Airport,Nnamdi Azikiwe International Airport,ABV,DNAA,"Abuja, Nigeria",9.006666666666666,7.263055555555556
https://en.wikipedia.org/wiki/Abau_Airport,Abau Airport,ABW,,"Abau, Papua New Guinea",-10.166666666666666,148.7
https://en.wikipedia.org/wiki/Albury_Airport,Albury Airport,ABX,YMAY,"Albury, New South Wales, Australia",-36.068333333333335,146.95833333333331
https://en.wikipedia.org/wiki/Southwest_Georgia_Regional_Airport,Southwest Georgia Regional Airport,ABY,KABY,"Albany, Georgia, United States",31.535555555555558,-84.19444444444444
https://en.wikipedia.org/wiki/Aberdeen_Airport,Aberdeen Airport,ABZ,EGPD,"Aberdeen, Scotland, United Kingdom",57.2025,-2.1980555555555554
https://en.wikipedia.org/wiki/General_Juan_N._%C3%81lvarez_International_Airport,General Juan N. Álvarez International Airport,ACA,MMAA,"Acapulco, Guerrero, Mexico",16.756027777777778,-99.75161111111112
https://en.wikipedia.org/wiki/Antrim_County_Airport,Antrim County Airport,ACB,KACB,"Bellaire, Michigan, United States",44.98861111111111,-85.19833333333334
https://en.wikipedia.org/wiki/Kotoka_International_Airport,Kotoka International Airport,ACC,DGAA,"Accra, Ghana",5.604666666666667,-0.1673888888888889
https://en.wikipedia.org/wiki/Alcides_Fern%C3%A1ndez_Airport,Alcides Fernández Airport,ACD,SKAD,"Acandí, Colombia",8.5,-77.27444444444444
https://en.wikipedia.org/wiki/Lanzarote_Airport,Lanzarote Airport,ACE,GCRR,"Lanzarote, Canary Islands, Spain",28.945555555555554,-13.605277777777777
https://en.wikipedia.org/wiki/St._Gallen%E2%80%93Altenrhein_Airport,St. Gallen–Altenrhein Airport,ACH,LSZR,"Altenrhein, Switzerland",47.485527777777776,9.561111111111112
https://en.wikipedia.org/wiki/Alderney_Airport,Alderney Airport,ACI,EGJA,"Alderney, Channel Islands, United Kingdom",49.70666666666667,-2.2144444444444447
https://en.wikipedia.org/wiki/Anuradhapura_Airport,Anuradhapura Airport,ACJ,VCCA,"Anuradhapura, Sri Lanka",8.301666666666668,80.42861111111111
https://en.wikipedia.org/wiki/Nantucket_Memorial_Airport,Nantucket Memorial Airport,ACK,KACK,"Nantucket, Massachusetts, United States",41.25288888888889,-70.059
https://en.wikipedia.org/wiki/Aguaclara_Airport,Aguaclara Airport,ACL,,"Aguaclara, Colombia",4.746944444444445,-72.99055555555556
https://en.wikipedia.org/w/index.php?title=Arica_Airport_(Colombia)&action=edit&redlink=1,Arica Airport,ACM,,"Arica, Colombia",,
https://en.wikipedia.org/wiki/Ciudad_Acu%C3%B1a_International_Airport,Ciudad Acuña International Airport,ACN,MMCC,"Ciudad Acuña, Coahuila, Mexico",29.333888888888886,-101.10083333333333
https://en.wikipedia.org/wiki/Sahand_Airport,Sahand Airport,ACP,OITM,"Maragheh, Iran",37.347972222222225,46.12788888888889
https://en.wikipedia.org/wiki/Araracuara_Airport,Araracuara Airport,ACR,SKAC,"Araracuara, Colombia",-0.6008333333333333,-72.39805555555556
https://en.wikipedia.org/wiki/Achinsk_Airport,Achinsk Airport,ACS,UNKS,"Achinsk, Krasnoyarsk Krai, Russia",56.26833333333333,90.57666666666667
https://en.wikipedia.org/wiki/Waco_Regional_Airport,Waco Regional Airport,ACT,KACT,"Waco, Texas, United States",31.61138888888889,-97.23055555555555
https://en.wikipedia.org/wiki/Achutupo_Airport,Achutupo Airport,ACU,,"Achutupo, Panama",9.190277777777778,-77.99444444444444
https://en.wikipedia.org/wiki/Arcata-Eureka_Airport,Arcata-Eureka Airport,ACV,KACV,"Eureka / Arcata, California, United States",40.97777777777778,-124.10833333333333
https://en.wikipedia.org/wiki/Xingyi_Wanfenglin_Airport,Xingyi Wanfenglin Airport,ACX,ZUYI,"Xingyi, Guizhou, China",25.08833333333333,104.95861111111111
https://en.wikipedia.org/wiki/Atlantic_City_International_Airport,Atlantic City International Airport,ACY,KACY,"Atlantic City, New Jersey, United States",39.4575,-74.57722222222222
https://en.wikipedia.org/wiki/Zabol_Airport,Zabol Airport,ACZ,OIZB,"Zabol, Iran",31.098333333333333,61.54388888888889
https://en.wikipedia.org/wiki/Adana_%C5%9Eakirpa%C5%9Fa_Airport,Adana Şakirpaşa Airport,ADA,LTAF,"Adana, Turkey",36.981944444444444,35.280277777777776
https://en.wikipedia.org/wiki/Adnan_Menderes_Airport,Adnan Menderes Airport,ADB,LTBJ,"İzmir, Turkey",38.29055555555556,27.155277777777776
https://en.wikipedia.org/wiki/Andakombe_Airport,Andakombe Airport,ADC,AYAN,"Andakombe, Papua New Guinea",-7.137138888888889,145.74471944444443
https://en.wikipedia.org/wiki/Bole_International_Airport,Bole International Airport,ADD,HAAB,"Addis Ababa, Ethiopia",8.977777777777778,38.79944444444444
https://en.wikipedia.org/wiki/Aden_International_Airport,Aden International Airport,ADE,OYAA,"Aden, Yemen",12.829444444444444,45.028888888888886
https://en.wikipedia.org/wiki/Ad%C4%B1yaman_Airport,Adıyaman Airport,ADF,LTCP,"Adıyaman, Turkey",37.73166666666667,38.46888888888889
https://en.wikipedia.org/wiki/Lenawee_County_Airport,Lenawee County Airport,ADG,KADG,"Adrian, Michigan, United States",41.867777777777775,-84.07722222222222
https://en.wikipedia.org/wiki/Aldan_Airport,Aldan Airport,ADH,UEEA,"Aldan, Yakutia, Russia",58.60305555555556,125.40722222222223
https://en.wikipedia.org/wiki/Arandis_Airport,Arandis Airport,ADI,FYAR,"Arandis, Namibia",-22.46222222222222,14.98
https://en.wikipedia.org/wiki/Amman_Civil_Airport,Amman Civil Airport (Marka International Airport),ADJ,OJAM,"Amman, Jordan",31.972499999999997,35.99138888888889
https://en.wikipedia.org/wiki/Adak_Airport,Adak Airport,ADK,PADK,"Adak Island, Alaska, United States",51.878055555555555,-176.6461111111111
https://en.wikipedia.org/wiki/Adelaide_Airport,Adelaide Airport,ADL,YPAD,"Adelaide, South Australia, Australia",-34.94499999999999,138.53055555555557
https://en.wikipedia.org/wiki/Ardmore_Municipal_Airport,Ardmore Municipal Airport,ADM,KADM,"Ardmore, Oklahoma, United States",34.30416666666667,-97.02055555555556
https://en.wikipedia.org/w/index.php?title=Andes_Airport&action=edit&redlink=1,Andes Airport,ADN,SKAN,"Andes, Colombia",,
https://en.wikipedia.org/wiki/Andamooka_Airport,Andamooka Airport,ADO,YAMK,"Andamooka, South Australia, Australia",-30.438333333333333,137.13666666666666
https://en.wikipedia.org/wiki/Ampara_Airport,Ampara Airport,ADP,VCCG,"Ampara, Sri Lanka",7.336944444444444,81.63027777777778
https://en.wikipedia.org/wiki/Kodiak_Airport,Kodiak Airport,ADQ,PADQ,"Kodiak, Alaska, United States",57.749722222222225,-152.49388888888888
https://en.wikipedia.org/wiki/Robert_F._Swinnie_Airport,Robert F. Swinnie Airport (FAA: PHH),ADR,KPHH,"Andrews, South Carolina, United States",33.45166666666667,-79.5261111111111
https://en.wikipedia.org/wiki/Addison_Airport,Addison Airport,ADS,KADS,"Dallas, Texas, United States",32.968611111111116,-96.83638888888889
https://en.wikipedia.org/wiki/Ada_Municipal_Airport,Ada Municipal Airport (FAA: ADH),ADT,KADH,"Ada, Oklahoma, United States",34.80444444444444,-96.6713888888889
https://en.wikipedia.org/wiki/Ardabil_Airport,Ardabil Airport,ADU,OITL,"Ardabil, Iran",38.32555555555556,48.424166666666665
https://en.wikipedia.org/wiki/Ed_Daein_Airport,Ed Daein Airport,ADV,,"Ed Daein, Sudan",11.403611111111111,26.11916666666667
https://en.wikipedia.org/wiki/Andrews_Field,Andrews Field (Andrews Air Force Base),ADW,KADW,"Camp Springs, Maryland, United States",38.810798999999996,-76.866997
https://en.wikipedia.org/wiki/RAF_Leuchars,RAF Leuchars,ADX,EGQL,"St Andrews, Scotland, United Kingdom",56.37289810180664,-2.8684399127960205
https://en.wikipedia.org/wiki/Alldays_Airport,Alldays Airport,ADY,FAAL,"Alldays, South Africa",-22.678333333333335,29.055
https://en.wikipedia.org/wiki/Gustavo_Rojas_Pinilla_International_Airport,Gustavo Rojas Pinilla International Airport,ADZ,SKSP,"San Andres Island, Colombia",12.583333333333334,-81.71111111111111
https://en.wikipedia.org/wiki/Abemama_Atoll_Airport,Abemama Atoll Airport,AEA,NGTB,"Abemama Atoll, Kiribati",0.49083333333333334,173.82861111111112
https://en.wikipedia.org/wiki/Baise_Bama_Airport,Baise Bama Airport,AEB,ZGBS,"Baise, Guangxi, China",23.71944444444444,106.95916666666668
https://en.wikipedia.org/w/index.php?title=Adareil_Airport&action=edit&redlink=1,Adareil Airport[1],AEE,,"Adareil, South Sudan",,
https://en.wikipedia.org/wiki/Aek_Godang_Airport,Aek Godang Airport,AEG,WIME,"Padang Sidempuan, Indonesia",1.4001027777777777,99.43045277777779
https://en.wikipedia.org/wiki/Ab%C3%A9ch%C3%A9_Airport,Abéché Airport,AEH,FTTC,"Abéché, Chad",13.846944444444444,20.844166666666666
https://en.wikipedia.org/w/index.php?title=Aseki_Airport&action=edit&redlink=1,Aseki Airport,AEK,AYAX,"Aseki, Papua New Guinea",,
https://en.wikipedia.org/wiki/Albert_Lea_Municipal_Airport,Albert Lea Municipal Airport,AEL,KAEL,"Albert Lea, Minnesota, United States",43.68111111111111,-93.36805555555554
https://en.wikipedia.org/w/index.php?title=Amgu_Airport&action=edit&redlink=1,Amgu Airport,AEM,UHTG,"Amgu, Primorsky Krai, Russia",,
https://en.wikipedia.org/wiki/Aioun_el_Atrouss_Airport,Aioun el Atrouss Airport,AEO,GQNA,"Aioun el Atrouss, Mauritania",16.711111111111112,-9.637777777777778
https://en.wikipedia.org/wiki/Jorge_Newbery_Airpark,Jorge Newbery Airpark,AEP,SABE,"Buenos Aires, Argentina",-34.5592,-58.4156
https://en.wikipedia.org/wiki/Ar_Horqin_Airport,Ar Horqin Airport,AEQ,,"Ar Horqin Banner, China",43.870555555555555,120.15944444444445
https://en.wikipedia.org/wiki/Sochi_International_Airport,Sochi International Airport,AER,URSS,"Sochi, Krasnodar Krai, Russia",43.45,39.95666666666667
"https://en.wikipedia.org/wiki/%C3%85lesund_Airport,_Vigra","Ålesund Airport, Vigra",AES,ENAL,"Ålesund, Norway",62.5625,6.119722222222221
https://en.wikipedia.org/wiki/Allakaket_Airport,Allakaket Airport (FAA: 6A8),AET,PFAL,"Allakaket, Alaska, United States",66.55194444444444,-152.62222222222223
https://en.wikipedia.org/wiki/Abu_Musa_Airport,Abu Musa Airport[1],AEU,OIBA,"Abu Musa Island, Iran",25.875555555555557,55.032777777777774
https://en.wikipedia.org/wiki/Alexandria_International_Airport_(Louisiana),Alexandria International Airport,AEX,KAEX,"Alexandria, Louisiana, United States",31.3275,-92.54861111111111
https://en.wikipedia.org/wiki/Akureyri_Airport,Akureyri Airport,AEY,BIAR,"Akureyri, Iceland",65.66111111111111,-18.072222222222223
https://en.wikipedia.org/wiki/San_Rafael_Airport_(Argentina),San Rafael Airport,AFA,SAMR,"San Rafael, Mendoza, Argentina",-34.588055555555556,-68.40277777777779
https://en.wikipedia.org/wiki/Port_Alfred_Airport,Port Alfred Airport,AFD,FAPA,"Port Alfred, South Africa",-33.55416666666667,26.879722222222224
https://en.wikipedia.org/wiki/United_States_Air_Force_Academy,United States Air Force Academy Airfield,AFF,KAFF,"Colorado Springs, Colorado, United States",,
https://en.wikipedia.org/wiki/Amalfi_Airport_(Colombia),Amalfi Airport,AFI,SKAM,"Amalfi, Colombia",6.894444444444444,-75.04722222222222
https://en.wikipedia.org/w/index.php?title=Kondavattavan_Tank_Seaplane_Base&action=edit&redlink=1,Kondavattavan Tank Seaplane Base[1],AFK,,"Ampara, Sri Lanka",,
https://en.wikipedia.org/wiki/Alta_Floresta_Airport,Alta Floresta Airport,AFL,SBAT,"Alta Floresta, Mato Grosso, Brazil",-9.866388888888888,-56.105000000000004
https://en.wikipedia.org/wiki/Jaffrey_Airport%E2%80%93Silver_Ranch,Jaffrey Airport–Silver Ranch,AFN,KAFN,"Jaffrey, New Hampshire, United States",42.80513416666666,-72.00302194444444
https://en.wikipedia.org/wiki/Afton_Municipal_Airport,Afton Municipal Airport,AFO,KAFO,"Afton, Wyoming, United States",42.70888888888889,-110.94222222222223
https://en.wikipedia.org/w/index.php?title=Afore_Airport&action=edit&redlink=1,Afore Airport,AFR,AYAF,"Afore, Papua New Guinea",,
https://en.wikipedia.org/wiki/Zarafshan_Airport,Zarafshan Airport,AFS,UTSN,"Zarafshan, Uzbekistan",41.61361111111111,64.23277777777778
https://en.wikipedia.org/wiki/Afutara_Airport,Afutara Airport,AFT,AGAF,"Afutara, Malaita, Solomon Islands",-9.19111111111111,160.94916666666668
https://en.wikipedia.org/wiki/Fort_Worth_Alliance_Airport,Fort Worth Alliance Airport,AFW,KAFW,"Fort Worth, Texas, United States",32.98777777777778,-97.31888888888888
https://en.wikipedia.org/wiki/Afyon_Airport,Afyon Airport,AFY,LTAH,"Afyon, Turkey",38.72638888888889,30.601111111111113
https://en.wikipedia.org/wiki/Sabzevar_Airport,Sabzevar Airport[1],AFZ,OIMS,"Sabzevar, Iran",36.16808333333333,57.59518333333334
https://en.wikipedia.org/wiki/Agadir%E2%80%93Al_Massira_Airport,Agadir–Al Massira Airport,AGA,GMAD,"Agadir, Morocco",30.325,-9.413055555555555
https://en.wikipedia.org/wiki/Augsburg_Airport,Augsburg Airport,AGB,EDMA,"Augsburg, Bavaria, Germany",48.42527777777777,10.931666666666667
https://en.wikipedia.org/wiki/Allegheny_County_Airport,Allegheny County Airport,AGC,KAGC,"Pittsburgh, Pennsylvania, United States",40.35416666666667,-79.93
https://en.wikipedia.org/wiki/Anggi_Airport,Anggi Airport,AGD,WASG,"Anggi, Indonesia",-1.3833333333333333,133.86666666666667
https://en.wikipedia.org/wiki/Wangerooge_Airfield,Wangerooge Airfield,AGE,EDWG,"Wangerooge, Lower Saxony, Germany",53.78277969360352,7.913888931274414
https://en.wikipedia.org/wiki/Agen_La_Garenne_Airport,Agen La Garenne Airport,AGF,LFBA,"Agen, Aquitaine, France",44.17472222222222,0.5905555555555556
https://en.wikipedia.org/w/index.php?title=Angoram_Airport&action=edit&redlink=1,Angoram Airport,AGG,,"Angoram, Papua New Guinea",,
https://en.wikipedia.org/wiki/%C3%84ngelholm%E2%80%93Helsingborg_Airport,Ängelholm–Helsingborg Airport (former ICAO: ESDB),AGH,ESTA,"Ängelholm, Sweden",56.29611111111111,12.847222222222223
https://en.wikipedia.org/wiki/Wageningen_Airstrip,Wageningen Airstrip,AGI,SMWA,"Wageningen, Suriname",5.841128,-56.673328000000005
https://en.wikipedia.org/wiki/Aguni_Airport,Aguni Airport,AGJ,RORA,"Aguni, Okinawa, Japan",26.592777777777776,127.24027777777778
https://en.wikipedia.org/w/index.php?title=Kagua_Airport&action=edit&redlink=1,Kagua Airport,AGK,,"Kagua, Papua New Guinea",,
https://en.wikipedia.org/wiki/Wanigela_Airport,Wanigela Airport,AGL,AYWG,"Wanigela, Papua New Guinea",-9.3375,149.15555555555557
https://en.wikipedia.org/wiki/Angoon_Seaplane_Base,Angoon Seaplane Base,AGN,PAGN,"Angoon, Alaska, United States",57.503601,-134.58500700000002
https://en.wikipedia.org/wiki/Magnolia_Municipal_Airport,Magnolia Municipal Airport,AGO,KAGO,"Magnolia, Arkansas, United States",33.2275,-93.21694444444445
https://en.wikipedia.org/wiki/M%C3%A1laga_Airport,Málaga Airport,AGP,LEMG,"Málaga, Andalusia, Spain",36.675,-4.4991666666666665
https://en.wikipedia.org/wiki/Agrinion_Airport,Agrinion Airport,AGQ,LGAG,"Agrinion, Greece",38.60194444444445,21.351111111111113
https://en.wikipedia.org/wiki/Agra_Airport,Agra Airport,AGR,VIAG,"Agra, Uttar Pradesh, India",27.161944444444444,77.97083333333333
https://en.wikipedia.org/wiki/Augusta_Regional_Airport,Augusta Regional Airport at Bush Field,AGS,KAGS,"Augusta, Georgia, United States",33.37,-81.96444444444445
https://en.wikipedia.org/wiki/Guaran%C3%AD_International_Airport,Guaraní International Airport,AGT,SGES,"Ciudad del Este, Paraguay",-25.455277777777777,-54.843333333333334
https://en.wikipedia.org/wiki/Lic._Jes%C3%BAs_Ter%C3%A1n_Peredo_International_Airport,Lic. Jesús Terán Peredo International Airport,AGU,MMAS,"Aguascalientes, Aguascalientes, Mexico",21.705555555555556,-102.31777777777778
https://en.wikipedia.org/wiki/Oswaldo_Guevara_Mujica_Airport,Oswaldo Guevara Mujica Airport,AGV,SVAC,"Acarigua, Venezuela",9.553333333333335,-69.2375
https://en.wikipedia.org/wiki/Agnew_Airport,Agnew Airport,AGW,,"Agnew, Queensland, Australia",-12.145555555555555,142.14916666666667
https://en.wikipedia.org/wiki/Agatti_Aerodrome,Agatti Aerodrome,AGX,VOAT,"Agatti Island, Lakshadweep, India",10.823699951171877,72.1760025024414
https://en.wikipedia.org/wiki/Aggeneys_Airport,Aggeneys Airport,AGZ,FAAG,"Aggeneys, South Africa",-29.281666666666666,18.81361111111111
https://en.wikipedia.org/wiki/Abha_Regional_Airport,Abha Regional Airport,AHB,OEAB,"Abha, Saudi Arabia",18.240277777777777,42.656666666666666
https://en.wikipedia.org/wiki/Amedee_Army_Airfield,Amedee Army Airfield,AHC,KAHC,"Herlong, California, United States",,
https://en.wikipedia.org/wiki/Ardmore_Downtown_Executive_Airport,Ardmore Downtown Executive Airport (FAA: 1F0),AHD,,"Ardmore, Oklahoma, United States",34.14694444444444,-97.12277777777777
https://en.wikipedia.org/wiki/Ahe_Airport,Ahe Airport,AHE,NTHE,"Ahe, Tuamotus, French Polynesia",-14.428055555555554,-146.25694444444446
https://en.wikipedia.org/wiki/Arapahoe_Municipal_Airport,Arapahoe Municipal Airport (FAA: 37V),AHF,,"Arapahoe, Nebraska, United States",40.339444444444446,-99.9063888888889
https://en.wikipedia.org/wiki/Amery_Municipal_Airport,Amery Municipal Airport,AHH,KAHH,"Amery, Wisconsin, United States",45.28111111111111,-92.37527777777777
https://en.wikipedia.org/wiki/Amahai_Airport,Amahai Airport,AHI,WAPA,"Amahai, Indonesia",-3.3333333333333335,128.91666666666666
https://en.wikipedia.org/wiki/Hongyuan_Airport,Hongyuan Airport,AHJ,ZUHY,"Hongyuan, Sichuan, China",32.52916666666667,102.35694444444444
https://en.wikipedia.org/wiki/Aishalton_Airport,Aishalton Airport,AHL,SYAH,"Aishalton, Guyana",2.4722222222222223,-59.32222222222222
https://en.wikipedia.org/wiki/Ashland_Municipal_Airport,Ashland Municipal Airport[1] (FAA: S03),AHM,,"Ashland, Oregon, United States",42.19027777777777,-122.66055555555556
https://en.wikipedia.org/wiki/Athens_Ben_Epps_Airport,Athens Ben Epps Airport,AHN,KAHN,"Athens, Georgia, United States",33.948611111111106,-83.32638888888889
https://en.wikipedia.org/wiki/Alghero-Fertilia_Airport,Alghero-Fertilia Airport,AHO,LIEA,"Alghero, Sardinia, Italy",40.63111111111111,8.288611111111111
https://en.wikipedia.org/wiki/Ahuas_Airport,Ahuas Airport,AHS,MHAH,"Ahuas, Honduras",15.472222222222223,-84.35277777777777
https://en.wikipedia.org/wiki/Cherif_Al_Idrissi_Airport,Cherif Al Idrissi Airport,AHU,GMTA,"Al Hoceima, Morocco",35.176944444444445,-3.8394444444444447
https://en.wikipedia.org/w/index.php?title=Saih_Rawl_Airport&action=edit&redlink=1,Saih Rawl Airport[1],AHW,,"Saih Rawl, Oman",,
https://en.wikipedia.org/w/index.php?title=Ambatolahy_Airport&action=edit&redlink=1,Ambatolahy Airport,AHY,,"Ambatolahy, Madagascar",,
https://en.wikipedia.org/wiki/Alpe_d%27Huez_Airport,Alpe d'Huez Airport,AHZ,LFHU,"Alpe d'Huez, Rhône-Alpes, France",45.08777777777778,6.085
https://en.wikipedia.org/wiki/Alliance_Municipal_Airport,Alliance Municipal Airport,AIA,KAIA,"Alliance, Nebraska, United States",42.05333333333333,-102.80388888888889
https://en.wikipedia.org/wiki/Ailinglaplap_Airok_Airport,Ailinglaplap Airok Airport,AIC,,"Airok, Ailinglaplap Atoll, Marshall Islands",7.279166666666667,168.82555555555555
https://en.wikipedia.org/wiki/Anderson_Municipal_Airport,Anderson Municipal Airport (Darlington Field),AID,KAID,"Anderson, Indiana, United States",40.10861111111111,-85.61305555555555
https://en.wikipedia.org/wiki/Aiome_Airport,Aiome Airport,AIE,AYAO,"Aiome, Papua New Guinea",-5.1425,144.73133333333334
